"id";"game_image";"appid";"game_name";"release_date";"developer";"publisher";"genre";"price"
1;"";10;"Counter-Strike";"2000-11-01";"Valve";"Valve";"[1]";7.19
2;"";20;"Team Fortress Classic";"1999-04-01";"Valve";"Valve";"[1]";3.99
3;"";30;"Day of Defeat";"2003-05-01";"Valve";"Valve";"[1]";3.99
4;"";40;"Deathmatch Classic";"2001-06-01";"Valve";"Valve";"[1]";3.99
5;"";50;"Half-Life: Opposing Force";"1999-11-01";"Gearbox Software";"Valve";"[1]";3.99
6;"";60;"Ricochet";"2000-11-01";"Valve";"Valve";"[1]";3.99
7;"";70;"Half-Life";"1998-11-08";"Valve";"Valve";"[1]";7.19
8;"";80;"Counter-Strike: Condition Zero";"2004-03-01";"Valve";"Valve";"[1]";7.19
9;"";130;"Half-Life: Blue Shift";"2001-06-01";"Gearbox Software";"Valve";"[1]";3.99
10;"";220;"Half-Life 2";"2004-11-16";"Valve";"Valve";"[1]";7.19
11;"";240;"Counter-Strike: Source";"2004-11-01";"Valve";"Valve";"[1]";7.19
12;"";280;"Half-Life: Source";"2004-06-01";"Valve";"Valve";"[1]";0.0
13;"";300;"Day of Defeat: Source";"2010-07-12";"Valve";"Valve";"[1]";7.19
14;"";320;"Half-Life 2: Deathmatch";"2004-11-01";"Valve";"Valve";"[1]";3.99
15;"";340;"Half-Life 2: Lost Coast";"2005-10-27";"Valve";"Valve";"[1]";0.0
16;"";360;"Half-Life Deathmatch: Source";"2006-05-01";"Valve";"Valve";"[1]";0.0
17;"";380;"Half-Life 2: Episode One";"2006-06-01";"Valve";"Valve";"[1]";5.79
18;"";400;"Portal";"2007-10-10";"Valve";"Valve";"[1]";7.19
19;"";420;"Half-Life 2: Episode Two";"2007-10-10";"Valve";"Valve";"[1]";5.79
20;"";440;"Team Fortress 2";"2007-10-10";"Valve";"Valve";"[1, 12]";0.0
21;"";500;"Left 4 Dead";"2008-11-17";"Valve";"Valve";"[1]";7.19
22;"";550;"Left 4 Dead 2";"2009-11-19";"Valve";"Valve";"[1]";7.19
23;"";570;"Dota 2";"2013-07-09";"Valve";"Valve";"[1, 3]";0.0
24;"";620;"Portal 2";"2011-04-18";"Valve";"Valve";"[1, 9]";7.19
25;"";630;"Alien Swarm";"2010-07-19";"Valve";"Valve";"[1]";0.0
26;"";730;"Counter-Strike: Global Offensive";"2012-08-21";"Valve;Hidden Path Entertainment";"Valve";"[1, 12]";0.0
27;"";1002;"Rag Doll Kung Fu";"2005-10-12";"Mark Healey";"Mark Healey";"[2]";5.99
28;"";1200;"Red Orchestra: Ostfront 41-45";"2006-03-14";"Tripwire Interactive";"Tripwire Interactive";"[1]";3.99
29;"";1250;"Killing Floor";"2009-05-14";"Tripwire Interactive";"Tripwire Interactive";"[1]";14.99
30;"";1300;"SiN Episodes: Emergence";"2006-05-10";"Ritual Entertainment";"Ritual Entertainment";"[1]";7.19
31;"";1500;"Darwinia";"2005-07-14";"Introversion Software";"Introversion Software";"[2, 3]";7.19
32;"";1510;"Uplink";"2006-08-23";"Introversion Software";"Introversion Software";"[2, 3]";6.99
33;"";1520;"DEFCON";"2006-09-29";"Introversion Software";"Introversion Software";"[2, 3]";7.19
34;"";1530;"Multiwinia";"2008-09-19";"Introversion Software";"Introversion Software";"[2]";7.19
35;"";1600;"Dangerous Waters";"2006-02-07";"Sonalysts";"Strategy First";"[3]";22.99
36;"";1610;"Space Empires IV Deluxe";"2006-02-07";"Malfador Machinations";"Strategy First";"[3]";6.99
37;"";1630;"Disciples II: Rise of the Elves ";"2006-07-06";"Strategy First";"Strategy First";"[3]";4.99
38;"";1640;"Disciples II: Gallean's Return";"2006-07-06";"Strategy First";"Strategy First";"[3]";4.99
39;"";1670;"Iron Warriors: T - 72 Tank Command ";"2006-07-26";"Strategy First";"Strategy First";"[3]";3.99
40;"";1690;"Space Empires V";"2006-10-16";"Malfador Machinations";"Strategy First";"[3]";10.99
41;"";1700;"Arx Fatalis";"2007-04-03";"Arkane Studios";"Arkane Studios";"[4]";2.99
42;"";1840;"Source Filmmaker";"2012-07-10";"Valve";"Valve";"[5, 21]";0.0
43;"";1900;"Earth 2160";"2006-04-01";"Reality Pump Studios";"Topware Interactive;ACE";"[3]";3.99
44;"";1930;"Two Worlds Epic Edition";"2009-04-30";"Reality Pump Studios";"Topware Interactive";"[4]";6.99
45;"";2100;"Dark Messiah of Might & Magic";"2006-10-25";"Arkane Studios";"Ubisoft";"[1, 4]";4.29
46;"";2200;"Quake III Arena";"2007-08-03";"id Software";"id Software";"[1]";12.99
47;"";2210;"Quake IV";"2011-08-04";"RavenSoft / id Software";"Bethesda Softworks";"[1]";12.99
48;"";2270;"Wolfenstein 3D";"2007-08-03";"id Software";"Bethesda-Softworks";"[1]";2.99
49;"";2280;"Ultimate Doom";"2007-08-03";"id Software";"id Software";"[1]";3.99
50;"";2290;"Final DOOM";"2007-08-03";"id Software";"id Software";"[1]";3.99
51;"";2300;"DOOM II";"2007-08-03";"id Software";"id Software";"[1]";3.99
52;"";2310;"QUAKE";"2007-08-03";"id Software";"id Software";"[1]";3.99
53;"";2320;"QUAKE II";"2007-08-03";"id Software";"id Software";"[1]";3.99
54;"";2330;"QUAKE II Mission Pack: The Reckoning";"2007-08-03";"Xatrix Entertainment";"id Software";"[1]";2.49
55;"";2340;"QUAKE II Mission Pack: Ground Zero";"2007-08-03";"Rogue Entertainment";"id Software";"[1]";2.49
56;"";2350;"QUAKE III: Team Arena";"2007-08-03";"id Software";"id Software";"[1]";12.99
57;"";2360;"HeXen: Beyond Heretic";"2007-08-03";"Raven Software";"id Software";"[1]";2.99
58;"";2370;"HeXen: Deathkings of the Dark Citadel";"2007-08-03";"Raven Software";"id Software";"[1]";2.99
59;"";2390;"Heretic: Shadow of the Serpent Riders";"2007-08-03";"Raven Software";"id Software";"[1]";2.99
60;"";2400;"The Ship: Murder Party";"2006-07-11";"Outerlight Ltd.";"Blazing Griffin Ltd.";"[1, 4]";0.0
61;"";2450;"Bloody Good Time";"2010-10-29";"Outerlight Ltd.";"Ubisoft";"[1]";4.29
62;"";2500;"Shadowgrounds";"2006-05-08";"Frozenbyte";"Frozenbyte";"[1]";3.99
63;"";2520;"Gumboy - Crazy Adventures™";"2006-12-19";"CINEMAX, s.r.o.";"CINEMAX, s.r.o.";"[6, 2]";0.0
64;"";2590;"Alpha Prime";"2007-11-07";"Black Element";"Bohemia Interactive";"[1]";2.99
65;"";2600;"Vampire: The Masquerade - Bloodlines";"2007-03-22";"Troika Games";"Activision";"[1]";14.99
66;"";2610;"GUN™";"2006-10-13";"Neversoft";"Activision";"[1]";9.99
67;"";2620;"Call of Duty®";"2006-10-13";"Infinity Ward";"Activision";"[1]";14.99
68;"";2630;"Call of Duty® 2";"2006-10-13";"Infinity Ward;Aspyr (Mac)";"Activision;Aspyr (Mac)";"[1]";14.99
69;"";2640;"Call of Duty: United Offensive";"2006-10-13";"Gray Matter Studios";"Activision";"[1]";14.99
70;"";2710;"Act of War: Direct Action";"2008-03-12";"Eugen Systems";"THQ Nordic";"[1]";1.99
71;"";2720;"ThreadSpace: Hyperbol";"2007-07-12";"Iocaine Studios";"Atari";"[1, 3]";3.99
72;"";2780;"ARMA: Combat Operations";"2008-03-12";"Bohemia Interactive";"Bohemia Interactive";"[1]";5.99
73;"";2800;"X2: The Threat";"2006-07-21";"Egosoft";"Egosoft";"[3]";4.99
74;"";2810;"X3: Reunion";"2006-07-21";"Egosoft";"Egosoft";"[3]";9.99
75;"";2820;"X3: Terran Conflict";"2008-10-16";"Egosoft";"Egosoft";"[1, 3]";15.99
76;"";2840;"X: Beyond the Frontier";"2010-10-08";"Egosoft";"Egosoft";"[7, 3]";3.49
77;"";2850;"X: Tension";"2010-10-08";"Egosoft";"Egosoft";"[7, 3]";3.49
78;"";2870;"X Rebirth";"2013-11-15";"Egosoft";"Egosoft";"[1, 7]";24.99
79;"";2900;"688(I) Hunter/Killer";"2006-10-26";"Sonalysts";"Strategy First";"[3]";22.99
80;"";2910;"Fleet Command";"2006-10-26";"Sonalysts";"Strategy First";"[3]";22.99
81;"";2920;"Sub Command";"2006-10-26";"Sonalysts";"Strategy First";"[3]";22.99
82;"";2990;"FlatOut 2™";"2006-12-21";"Bugbear Entertainment";"Strategy First";"[8]";5.99
83;"";3010;"Xpand Rally";"2006-08-24";"Techland";"Techland";"[8]";3.99
84;"";3020;"Call of Juarez™";"2007-11-08";"Techland";"Techland Publishing";"[1]";8.59
85;"";3050;"Xpand Rally Xtreme";"2008-10-08";"Techland";"Techland";"[8]";3.99
86;"";3130;"Men of War: Red Tide";"2009-11-01";"1C Entertainment";"1C Entertainment;1C-SoftClub";"[3]";3.99
87;"";3170;"King's Bounty: Armored Princess";"2009-11-19";"Katauri Interactive";"1C Entertainment";"[4, 3]";7.99
88;"";3230;"Genesis Rising";"2007-08-06";"Metamorf";"THQ Nordic";"[3]";4.49
89;"";3260;"Safecracker: The Ultimate Puzzle Adventure";"2007-08-29";"Kheops Studio";"HandyGames";"[9, 6]";4.49
90;"";3270;"Painkiller Overdose";"2007-10-30";"Mindware Studios";"THQ Nordic";"[1]";4.49
91;"";3330;"Zuma Deluxe";"2006-08-30";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";4.25
92;"";3410;"Heavy Weapon Deluxe";"2006-08-30";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";4.25
93;"";3480;"Peggle Deluxe";"2007-03-06";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";4.25
94;"";3483;"Peggle Extreme";"2007-09-11";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";0.0
95;"";3490;"Venice Deluxe";"2007-06-25";"Retro64, Inc.";"PopCap Games, Inc.";"[6]";4.25
96;"";3500;"Mystery P.I.™ - The Lottery Ticket";"2007-10-16";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
97;"";3510;"Amazing Adventures The Lost Tomb™";"2007-12-13";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
98;"";3520;"Mystery P.I.™ - The Vegas Heist";"2008-06-05";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
99;"";3530;"Amazing Adventures Around the World";"2009-04-15";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
100;"";3540;"Peggle™ Nights";"2008-10-15";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";4.25
101;"";3560;"Bejeweled Twist";"2008-11-18";"PopCap Games, Inc.";"PopCap Games, Inc.";"[3, 6]";4.25
102;"";3570;"Mystery P.I.™ - The New York Fortune";"2009-01-28";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
103;"";3580;"The Wizard's Pen™";"2009-02-18";"PopCap Games, Inc.";"PopCap Games, Inc.";"[6]";4.25
104;"";3590;"Plants vs. Zombies GOTY Edition";"2009-05-05";"PopCap Games, Inc.";"PopCap Games, Inc.";"[3]";4.25
105;"";3600;"Escape Rosecliff Island";"2009-04-15";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
106;"";3610;"Mystery P.I. - Lost in Los Angeles";"2009-07-27";"SpinTop Games";"PopCap Games, Inc.";"[6]";4.25
107;"";3620;"Zuma's Revenge!";"2009-09-15";"PopCap Games, Inc.";"PopCap Games, Inc.";"[1, 6]";4.25
108;"";3700;"Sniper Elite";"2009-07-16";"Rebellion";"Rebellion";"[1]";5.59
109;"";3710;"Judge Dredd: Dredd vs. Death";"2009-03-26";"Rebellion";"Rebellion";"[1]";5.59
110;"";3720;"Evil Genius";"2009-06-22";"Elixir Studios";"Rebellion";"[3]";6.99
111;"";3730;"Aliens versus Predator Classic 2000";"2010-01-15";"Rebellion";"Rebellion";"[1]";3.99
112;"";3800;"Advent Rising";"2006-09-14";"GlyphX Games";"Majesco Entertainment";"[1]";7.19
113;"";3810;"BloodRayne";"2006-09-14";"Terminal Reality";"Majesco Entertainment";"[1]";6.99
114;"";3820;"BloodRayne 2";"2006-09-14";"Terminal Reality";"Majesco Entertainment";"[1]";6.99
115;"";3830;"Psychonauts";"2006-10-11";"Double Fine Productions";"Double Fine Productions";"[1]";6.99
116;"";3900;"Sid Meier's Civilization® IV";"2006-10-25";"Firaxis Games";"2K";"[3]";9.99
117;"";3910;"Sid Meier's Civilization® III Complete";"2006-10-25";"Firaxis Games";"2K";"[3]";2.99
118;"";3920;"Sid Meier's Pirates!";"2005-07-11";"Firaxis Games";"2K";"[4]";5.99
119;"";3960;"Shattered Union";"2006-10-25";"PopTop";"2K";"[3]";2.99
120;"";3980;"CivCity: Rome";"2007-04-06";"FireFly Studios;Firaxis Games";"2K";"[3]";5.99
121;"";3990;"Civilization IV®: Warlords";"2007-04-06";"Firaxis Games";"2K";"[3]";2.99
122;"";4000;"Garry's Mod";"2006-11-29";"Facepunch Studios";"Valve";"[2, 7]";6.99
123;"";4100;"Poker Superstars II";"2006-10-05";"Funkitron";"Funkitron";"[6, 2]";5.99
124;"";4230;"RACE - The WTCC Game";"2006-11-24";"SimBin";"SimBin";"[8]";25.99
125;"";4290;"RACE: Caterham Expansion";"2007-06-22";"SimBin";"SimBin";"[8]";3.99
126;"";4300;"RoboBlitz";"2006-11-07";"Naked Sky Entertainment";"Naked Sky Entertainment";"[1, 2]";5.99
127;"";4420;"Silverfall";"2007-03-20";"Monte Cristo";"Focus Home Interactive";"[4]";7.99
128;"";4460;"City Life 2008";"2008-09-29";"Monte Cristo";"Focus Home Interactive";"[7, 3]";6.99
129;"";4470;"Silverfall: Earth Awakening";"2008-07-18";"Monte Cristo";"Focus Home Interactive";"[4]";7.99
130;"";4500;"S.T.A.L.K.E.R.: Shadow of Chernobyl";"2007-03-20";"GSC Game World";"GSC Game World";"[1, 4]";9.99
131;"";4520;"Full Spectrum Warrior";"2007-07-17";"Pandemic Studios";"THQ Nordic";"[1, 3]";7.99
132;"";4530;"Full Spectrum Warrior: Ten Hammers";"2007-07-17";"Pandemic Studios";"THQ Nordic";"[1, 3]";4.99
133;"";4560;"Company of Heroes - Legacy Edition";"2007-07-17";"Relic Entertainment";"SEGA";"[10, 3]";0.0
134;"";4570;"Warhammer® 40,000: Dawn of War® - Game of the Year Edition";"2007-08-07";"Relic Entertainment";"SEGA";"[3]";9.99
135;"";4580;"Warhammer® 40,000: Dawn of War® - Dark Crusade";"2007-08-07";"Relic Entertainment";"SEGA";"[3]";9.99
136;"";4700;"Total War: MEDIEVAL II – Definitive Edition";"2006-11-15";"CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)";"SEGA;Feral Interactive (Mac);Feral Interactive (Linux)";"[3]";0.0
137;"";4720;"Condemned: Criminal Origins";"2012-10-29";"Monolith";"SEGA";"[1]";9.99
138;"";4760;"Rome: Total War™ - Collection";"2007-08-28";"CREATIVE ASSEMBLY";"SEGA";"[3]";8.99
139;"";4770;"Rome: Total War™ - Alexander";"2007-08-28";"The Creative Assembly";"SEGA";"[3]";8.99
140;"";4780;"Medieval II: Total War™ Kingdoms";"2007-08-28";"The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)";"SEGA;Feral Interactive (Mac);Feral Interactive (Linux)";"[3]";0.0
141;"";4800;"Heroes of Annihilated Empires";"2006-11-22";"GSC Game World";"GSC Game World";"[3]";9.99
142;"";4850;"Cossacks: Back to War";"2010-09-02";"GSC Game World";"GSC World Publishing";"[3]";3.99
143;"";4870;"Cossacks: Art of War";"2011-08-26";"GSC Game World";"GSC World Publishing";"[3]";3.99
144;"";4880;"Cossacks: European Wars";"2011-08-26";"GSC Game World";"GSC World Publishing";"[3]";3.99
145;"";4890;"Cossacks II: Battle for Europe";"2011-08-26";"GSC Game World";"GSC World Publishing";"[3]";3.99
146;"";4900;"Zen of Sudoku";"2006-12-14";"Unknown Worlds Entertainment";"Unknown Worlds Entertainment";"[6, 2]";0.0
147;"";4920;"Natural Selection 2";"2012-10-30";"Unknown Worlds Entertainment";"Unknown Worlds Entertainment";"[1, 3]";6.99
148;"";6000;"STAR WARS™ Republic Commando™";"2009-07-08";"LucasArts";"LucasArts;Lucasfilm;Disney Interactive";"[1]";7.19
149;"";6010;"Indiana Jones® and the Fate of Atlantis™";"2009-07-08";"LucasArts";"LucasArts;Lucasfilm;Disney Interactive";"[9]";4.79
150;"";6020;"STAR WARS™ Jedi Knight - Jedi Academy™";"2009-09-16";"Raven Software;Aspyr (Mac)";"LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive";"[1]";7.19
151;"";6030;"STAR WARS™ Jedi Knight II - Jedi Outcast™";"2009-09-16";"Raven Software;Aspyr (Mac)";"LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive";"[1]";7.19
152;"";6040;"The Dig®";"2009-07-08";"LucasArts";"LucasArts";"[9]";4.79
153;"";6060;"Star Wars: Battlefront 2 (Classic, 2005)";"2009-07-08";"Pandemic Studios";"Lucasfilm;LucasArts;Disney Interactive";"[1]";7.19
154;"";6080;"Thrillville®: Off the Rails™";"2009-07-08";"Frontier";"LucasArts";"[1, 3]";7.19
155;"";6090;"Armed and Dangerous®";"2009-07-08";"Planet Moon Studios";"LucasArts;Lucasfilm;Disney Interactive";"[1]";4.79
156;"";6120;"Shank";"2010-10-25";"Klei Entertainment";"Klei Entertainment";"[1, 2]";7.19
157;"";6200;"Ghost Master®";"2006-12-21";"Sick Puppies";"Strategy First";"[3]";3.99
158;"";6210;"Vegas: Make It Big™";"2006-12-21";"Deepred";"Strategy First";"[3]";3.99
159;"";6220;"FlatOut";"2007-02-02";"Bugbear Entertainment";"Strategy First";"[8]";4.99
160;"";6250;"Making History: The Calm & the Storm";"2007-03-13";"Muzzy Lane";"Strategy First";"[1, 3]";3.99
