"id";"steam_image_api";"appid";"game_name";"release_date";"developer";"publisher";"price";"uploaded_game_image"
1;"https://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1666823513";10;"Counter-Strike";"2000-11-01";"Valve";"Valve";7.19;"/placeholder.png"
2;"https://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1579634708";20;"Team Fortress Classic";"1999-04-01";"Valve";"Valve";3.99;"/placeholder.png"
3;"https://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1512413490";30;"Day of Defeat";"2003-05-01";"Valve";"Valve";3.99;"/placeholder.png"
4;"https://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1568752159";40;"Deathmatch Classic";"2001-06-01";"Valve";"Valve";3.99;"/placeholder.png"
5;"https://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1579628243";50;"Half-Life: Opposing Force";"1999-11-01";"Gearbox Software";"Valve";3.99;"/placeholder.png"
6;"https://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1599518374";60;"Ricochet";"2000-11-01";"Valve";"Valve";3.99;"/placeholder.png"
7;"https://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1666824272";70;"Half-Life";"1998-11-08";"Valve";"Valve";7.19;"/placeholder.png"
8;"https://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1602535977";80;"Counter-Strike: Condition Zero";"2004-03-01";"Valve";"Valve";7.19;"/placeholder.png"
9;"https://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1579629868";130;"Half-Life: Blue Shift";"2001-06-01";"Gearbox Software";"Valve";3.99;"/placeholder.png"
10;"https://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg?t=1666823596";220;"Half-Life 2";"2004-11-16";"Valve";"Valve";7.19;"/placeholder.png"
